qt_0_words,qt_0_freqs,qt_1_words,qt_1_freqs,qt_2_words,qt_2_freqs,qt_3_words,qt_3_freqs,qt_4_words,qt_4_freqs,qt_5_words,qt_5_freqs,qt_6_words,qt_6_freqs,qt_7_words,qt_7_freqs,qt_8_words,qt_8_freqs,qt_9_words,qt_9_freqs,qt_10_words,qt_10_freqs,qt_11_words,qt_11_freqs,qt_12_words,qt_12_freqs,qt_13_words,qt_13_freqs,qt_14_words,qt_14_freqs,qt_15_words,qt_15_freqs,qt_16_words,qt_16_freqs,qt_17_words,qt_17_freqs,qt_18_words,qt_18_freqs,qt_19_words,qt_19_freqs
what,167,what,276,what,342,what,147,what,255,what,261,what,194,what,209,what,196,what,183,what,209,what,192,what,181,what,300,what,192,what,212,what,209,what,259,what,261,what,202
are,125,are,135,person,120,who,126,are,152,are,134,who,105,kind,129,are,108,sleeved,82,are,96,are,116,are,69,are,122,table,74,are,59,small,73,are,150,which,128,are,104
which,75,white,70,are,96,made,115,which,121,front,90,which,89,which,109,right,63,are,79,who,78,who,84,right,63,right,85,color,70,picture,53,kind,52,made,91,are,120,top,50
color,72,how,69,made,70,which,77,animal,66,color,62,color,67,furniture,104,standing,57,shirt,71,made,78,sitting,72,left,59,look,78,front,64,made,44,are,51,which,87,who,74,kind,49
left,61,right,69,which,64,white,71,right,65,who,61,front,63,are,62,left,54,which,69,which,71,color,70,kind,49,how,76,are,50,color,44,red,51,color,80,left,74,which,45
front,58,color,61,left,63,wearing,69,woman,64,which,59,are,61,left,62,who,54,long,68,furniture,56,right,60,wearing,49,front,70,man,44,front,43,man,48,white,64,kind,60,color,45
table,54,front,57,blue,60,are,58,left,62,man,59,right,60,right,61,kind,53,look,66,kind,55,which,59,front,48,left,69,woman,38,white,43,left,45,right,60,right,56,brown,44
side,51,kind,54,furniture,57,kind,51,front,60,look,55,wearing,56,front,48,which,51,made,62,wearing,52,left,38,chair,39,person,68,wearing,37,black,38,color,41,front,58,place,56,furniture,43
look,51,left,52,front,54,plastic,45,look,59,brown,52,furniture,55,woman,46,device,46,kind,61,white,48,kind,36,man,36,color,57,red,35,look,30,which,39,kind,56,wearing,55,look,43
right,51,look,52,kind,46,left,43,kind,59,left,46,kind,48,large,40,color,39,front,59,left,45,table,33,look,36,which,51,how,32,frame,28,who,37,left,56,front,44,device,39
black,50,black,51,right,44,material,42,who,58,furniture,46,appliance,47,made,34,furniture,39,color,50,color,43,device,32,who,33,made,44,behind,31,laptop,28,brown,36,top,50,black,40,table,33
made,46,which,50,color,44,vehicle,40,side,48,right,46,white,47,who,32,white,32,top,50,large,39,person,29,color,30,kind,43,person,28,right,26,furniture,34,appliance,44,near,39,green,31
who,43,sitting,50,side,44,right,39,person,47,wearing,44,left,45,behind,32,look,31,right,49,person,38,front,29,which,29,black,43,look,27,who,26,right,32,look,44,top,38,long,29
chair,37,behind,49,look,38,window,39,furniture,47,small,41,look,38,look,31,black,26,left,47,wood,35,animal,26,small,27,man,43,white,26,think,24,made,29,side,41,furniture,36,black,28
white,35,man,45,wearing,38,device,38,top,44,white,37,person,34,man,30,hanging,24,jacket,45,right,31,boy,26,shorts,24,white,42,large,25,how,21,look,29,material,41,behind,34,sitting,28
top,33,small,40,toilet,35,color,36,large,43,black,36,side,33,white,29,man,24,short,45,helmet,27,short,25,brown,23,tall,35,right,23,which,20,behind,29,trees,39,made,33,sign,26
kind,33,made,33,floor,30,shirt,34,tall,42,item,32,think,31,wearing,27,vehicle,22,behind,33,look,26,look,23,round,23,behind,34,left,21,desk,20,food,28,furniture,36,table,31,man,24
furniture,31,who,32,sidewalk,30,sitting,34,color,38,kind,30,man,30,device,27,blue,20,wearing,32,utensil,25,made,22,top,23,grass,33,old,21,fence,20,animal,27,different,36,woman,30,trees,24
wearing,29,clean,31,top,29,top,34,shirt,38,shoes,30,floor,29,color,25,people,19,device,28,picture,24,appliance,22,side,21,photo,32,kind,20,left,20,fence,26,animal,31,shirt,29,who,23
see,27,side,31,cup,28,behind,31,made,31,side,29,behind,26,desk,24,top,18,old,28,cooking,22,looking,22,vehicle,19,girl,31,which,19,brown,19,common,23,black,30,material,28,white,23
device,26,shelves,29,holding,27,side,30,behind,31,short,27,picture,25,how,23,keyboard,18,person,27,bear,20,side,21,soccer,19,silver,30,green,19,vehicle,18,short,23,table,28,round,28,shirt,22
metal,24,fence,28,window,27,man,28,how,30,sitting,27,pants,25,animal,20,wall,18,table,27,side,19,lamp,21,young,19,racket,30,glasses,19,called,18,near,22,man,28,sitting,28,front,20
boy,23,clothing,27,small,26,furniture,27,sitting,27,top,27,wall,24,side,20,clothing,17,who,25,black,19,top,20,picture,17,sign,30,who,17,table,18,top,22,device,26,color,25,street,20
chairs,22,trees,26,called,26,container,25,clean,25,window,27,bottle,23,small,20,front,17,mirror,25,wooden,18,standing,19,clothing,17,food,29,umbrella,17,furniture,18,woman,21,woman,26,large,23,left,20
large,22,picture,25,near,25,large,21,vehicle,25,fence,27,top,21,jacket,19,called,17,food,24,standing,18,sky,18,green,17,large,28,coffee,16,hanging,17,standing,20,sitting,26,how,22,tall,19
speaker,20,top,25,appliance,23,front,21,standing,24,shirt,26,called,20,person,18,field,16,near,23,animal,17,picture,18,woman,16,animal,26,see,15,chair,17,front,19,people,25,red,22,sleeved,19
tv,19,animal,25,oven,23,chair,21,mouse,23,animal,26,gray,19,material,17,chair,15,how,23,street,16,laptop,18,person,16,happy,26,animal,15,shape,17,bag,19,fence,24,look,22,desk,18
hat,19,furniture,23,man,22,paper,20,walking,23,person,24,standing,18,young,17,shirt,15,wood,22,sign,16,vehicle,17,device,16,side,26,rug,15,top,16,floor,18,how,24,side,21,picture,17
green,18,photo,22,sitting,22,pants,19,long,23,clean,22,holding,18,hard,17,near,15,brown,22,top,16,black,16,traffic,15,big,25,side,15,device,15,door,18,metal,24,animal,21,right,16
food,17,woman,21,woman,22,black,18,man,21,trousers,19,black,17,boy,16,item,14,woman,22,tray,16,behind,14,gray,15,tennis,25,sign,15,near,14,ball,18,large,23,person,20,wearing,16
animal,17,soft,21,device,22,toilet,18,sleeved,21,picture,18,device,17,trees,16,behind,14,side,22,playing,16,metal,14,ball,14,sitting,24,small,14,weather,14,large,18,picture,21,photo,19,person,15
behind,17,person,21,material,22,looking,17,green,20,shorts,18,sitting,17,street,16,person,14,vase,22,jeans,15,how,14,large,14,bench,23,long,14,pizza,14,mirror,18,part,21,man,19,standing,15
vehicle,17,tall,21,next,21,look,17,grass,19,holding,18,sink,16,fence,15,artwork,13,blue,22,woman,15,large,13,glove,13,furniture,23,square,13,sitting,13,wearing,17,behind,20,sink,17,side,14
shorts,16,long,20,table,21,glass,16,blue,19,flowers,18,long,16,black,15,batter,12,white,20,small,15,shirt,13,yellow,13,looks,23,suitcase,13,light,13,person,16,bench,20,picture,17,red,14
