cluster_0_words,cluster_0_freqs,cluster_1_words,cluster_1_freqs,cluster_2_words,cluster_2_freqs,cluster_3_words,cluster_3_freqs,cluster_4_words,cluster_4_freqs
What,2103,What,540,What,688,What,413,What,506
Is,1395,man,368,Is,567,animal,368,Is,344
kind,694,Who,309,Are,280,Is,152,Who,301
furniture,676,wearing,291,front,274,kind,109,wearing,187
color,667,person,282,vehicle,262,are,105,left,157
Which,656,Is,250,Does,199,front,96,right,140
Are,635,woman,227,color,197,Which,85,device,122
made,577,right,160,made,181,behind,78,person,117
Does,545,left,158,look,177,Are,71,Does,113
right,536,front,127,are,161,grass,71,man,109
left,516,standing,114,fence,151,animals,69,front,107
look,475,shirt,91,Who,145,brown,64,sitting,106
white,431,holding,84,trees,128,Does,61,Are,90
are,430,side,81,sign,128,look,53,holding,76
table,388,picture,78,Which,124,large,52,top,74
top,377,sitting,75,right,121,standing,49,are,74
front,325,girl,75,behind,120,color,47,woman,71
black,315,boy,71,How,117,person,45,Which,69
side,312,young,70,Do,115,right,43,white,64
Do,294,Are,69,large,115,white,43,standing,58
small,249,Does,69,kind,114,fence,41,what,57
chair,218,old,62,left,110,left,41,color,55
food,215,Which,57,street,101,Who,38,place,55
shirt,215,behind,50,white,98,Do,36,How,53
How,212,device,47,building,88,horse,36,look,52
device,210,happy,42,car,87,small,36,player,49
sitting,207,people,40,side,86,tall,32,wears,45
which,206,photo,39,sky,82,black,31,behind,45
long,194,look,38,green,81,looking,29,racket,45
large,194,which,37,blue,80,elephant,28,black,44
