,cluster,id,text
0,0,3850,本文讲述了陈泊的一生，他是中共一位忠诚的干部，但在革命成功后，却因政治斗争而被陷害。陈泊的悲剧反映了中共内部的政治斗争和对忠诚干部的背叛。最后，陈泊的冤屈得到平反，但他的生命已经消逝。
1,0,5518,中共当局在台风暴雨期间，未提前转移灾民，导致大量人员伤亡和财产损失。中共应承担全部责任。中共在灾后赔偿中表现吝啬，民众不应接受。中共应停止暴力行为，尊重民众权益。最终，民众应联合起来，推翻中共邪恶政权。
2,0,5995,文作者经历了中国网络言论受限、人权律师被打压的时期。作者参与了王全平律师的行政诉讼代理，见识了葛永喜律师的强大法律技能和勇气。作者与葛律师成为好友，加入捍卫律师权益大群，找到精神家园。作者结识了许多律师朋友，参加聚会，共同批评时政、讨论案件、交流信息。
3,0,3798,小雨濒临脑死亡，因签署器官捐献协议书得以救回，揭示捐献器官可获更好救治。脑死亡患者家属面临经济压力，同意捐献器官可减轻费用负担。脑死亡患者家属在救治与捐献之间纠结，捐献器官可救他人，但也可能失去亲人。中国脑死亡患者家庭因巨额医疗费用而选择捐献器官，权贵则有机会接受器官移植。
4,0,1007,中央一专办非法抓人，导致林兴被监禁，江楠被下放农村。江楠因受母亲案牵连自杀，但案件至今未得到彻底解决。周恩来以权谋私，为康生、江青报私仇，导致林家遭受迫害。文革期间，一专办利用工宣队残害知识分子，制造了大量冤案。历史真相被掩盖，恶人仍逍遥法外，需要揭露和谴责。
5,1,3563,疫情对中国社会造成严重冲击，医院、殡葬行业挤兑现象普遍。通过追踪殡葬行业火化人数，推算本轮疫情大致规模。哈尔滨小城市数据具有代表性，推算全国本轮疫情死亡人数约为760万。北京殡仪馆数据推算，全国本轮疫情死亡人数约为18.14万。奥密克戎致死率偏低，但中国死亡率高达0.54%，远超美国。中共隐瞒疫情死亡人数，民众仍处被欺骗状态。
6,1,6134,网传李克强丧事从简，限制参加人员，引发对北京恐惧原因的猜测。李克强被视为悬在习近平头上的达摩克利斯之剑，因可能成为反习领袖。民众以悼念李克强名义走上街头，表达反对世道不公的情绪。人们并非怀念李克强本人，而是痛恨社会不公，被称为“李克强的勇气被低估了”。中共权力斗争呈现逆淘汰现象，高尚者失败，卑鄙者成功。
7,1,6558,中共改革开放已不可能，体制需改革，外资态度转变，外国人看清中共。习近平公开羞辱李强，总理与香港特首同场做笔记，引发网友讨论。甘肃地震导致大量死亡，网友呼吁皇帝下罪己诏。中共官员作秀扫雪被嘲讽，网友称他们是影帝。江西2.2亿大奖成国际新闻，人工智能计算概率引发关注。一篇关于一家三代送外卖的文章被删，反映阶层固化问题。
8,1,2076,英国2021年上半年新冠疫苗接种大数据揭示，新冠疫苗促进感染、重症和死亡。疫苗有效率基于死亡率计算，但英国数据库凭空给出的死亡率严重造假，偏向疫苗。数学模型验证，当A/B波动范围小于10点时，整体值和均值接近重合，可以用整体值计算死亡率。英国2021年第1-10周死亡率大降，是疫情退潮特性决定，与新冠疫苗无关。疫苗有效率基于死亡率计算，英国数据库凭空给出的涉假死亡率诱生了假有效率。
9,1,174,中共官员贪污严重，腐败问题突出。官员陈刚私家园林、豪宅被曝光，引发舆论谴责。核酸检测造假，疫情管控不力。盒马超市被罚，民生问题引发关注。河南郸城县长恶意返乡言论，引发民众抗议。北京养老服务时间银行，压力重重。岳某北京奔波打工，生活艰辛。寻子京城的岳某，遭遇不公平待遇。民意调查虚假，政府信任度争议。邮件冻链甩锅，病毒溯源争议。
