,cluster,id,text
0,0,5230,"贫富悬殊, 人口死亡, 中国经济"
1,0,1496,"美洲经济框架, 去中共化, 供应链"
2,0,343,"中共宣传, 大谎言, 小谎言"
3,0,3510,"人口下降, 防疫政策, 人口负增长"
4,0,3142,"大纪元, 12月01日, 学生运动"
5,1,3866,"中共,胡鑫宇,间谍气球"
6,1,6131,"中共,美国,中美关系"
7,1,2933,"胡锦涛,习近平,架离事件"
8,1,6473,"爱国者,中共,中国"
9,1,628,"中国残疾人,残奥会,中共"
10,2,6610,灾难预警，外星人与传统文化，中国共产党与末世灾祸
11,2,6067,关键词：哈马斯、资产冻结、中共高官
12,2,6535,伯克利法学院院长，大学生的激进行为，文化马克思主义
13,2,3568,关键词：中国，COVID，谎言
14,2,1524,经济版第五条，印太经济框架，全球产业链重组
15,3,1322,"民主党的立场, 美国人民反对的条款, 激进和不受欢迎的立法"
16,3,1558,1. 唐山打人事件; 2. 疑点与质疑; 3. 扫黑除恶与政治斗争。
17,3,1631,"大纪元, Carol Swain, Dobbs v. Jackson Women's Health Organization"
18,3,2830,"中国互联网企业讨好中共, 助纣为虐; 中国体制内各单位如获至宝、磨刀霍霍; 中共建立网络强国、发展数字科技的根本出发点"
19,3,1036,连天上飞的鸟都想灭掉，制度优越性，天牌，政治防疫，绝对不容许，军令，背水一战，死命令，次生灾难，苛政猛于虎
20,4,9,"女性主义, 性别平等, 社会公正"
21,4,364,"塞内夫, 新冠疫苗, 免疫系统"
22,4,461,"侵略, 乌克兰, 国际秩序"
23,4,4452,"军事合作, 联合军演, 远东地区"
24,4,3221,"联合国, 气候变化, 政治协议"
25,5,2928,杀戮，阶级斗争，斗争哲学
26,5,2455,孙力军，傅政华，善恶有报
27,5,3047,斗争，阶级斗争，马克思主义
28,5,3277,土改合作，镇反肃反，工商改造
29,5,4670,塔西佗，罗马历史学家，拉丁文文体家
