gqa,okvqa,vqav2,aokvqa,avg
57.218953728732714,55.12,74.19,71.52838427947599,64.51433450205218
60.0095404674829,55.87,75.27,72.66375545851528,65.95332398149955
60.73302591827,56.65,76.19,73.44978165938865,66.75570189441466
61.42470981078073,58.09,76.81,73.44978165938865,67.44362286754235
62.37875655907139,57.71,78.0,73.53711790393012,67.90646861575038
62.73652408968039,57.99,78.57,73.27510917030567,68.14290831499652
63.26124980124026,58.96,79.16,74.75982532751092,69.03526878218779
63.626967721418346,58.1,79.68,74.235807860262,68.9106938954201
63.77007473366195,58.19,79.87,74.32314410480349,69.03830470961636
63.626967721418346,57.76,79.98,74.49781659388647,68.9661960788262
