,gqa,okvqa,vqav2,aokvqa,avg,name
0,56.7260295754492,54.51,73.9,71.9650655021834,64.27527376940814,mix_coco_gqa_ao_cocap_textcap_raw_QformerMoE_CLS_Cross_lnout_lr5e5_3ex3b_2loss_001_top6layer_textinqf_10epo_0330
1,59.5802194307521,55.89,75.12,72.83842794759825,65.8571618445876,mix_coco_gqa_ao_cocap_textcap_raw_QformerMoE_CLS_Cross_lnout_lr5e5_3ex3b_2loss_001_top6layer_textinqf_10epo_0330
2,60.605819685164576,56.41,75.93,74.06113537117905,66.7517387640859,mix_coco_gqa_ao_cocap_textcap_raw_QformerMoE_CLS_Cross_lnout_lr5e5_3ex3b_2loss_001_top6layer_textinqf_10epo_0330
3,61.43266020034982,57.36,76.65,73.1004366812227,67.13577422039313,mix_coco_gqa_ao_cocap_textcap_raw_QformerMoE_CLS_Cross_lnout_lr5e5_3ex3b_2loss_001_top6layer_textinqf_10epo_0330
4,62.32310383208777,57.71,77.76,74.235807860262,68.00722792308744,mix_coco_gqa_ao_cocap_textcap_raw_QformerMoE_CLS_Cross_lnout_lr5e5_3ex3b_2loss_001_top6layer_textinqf_10epo_0330
5,62.80807759580219,58.29,78.22,73.7117903930131,68.25746699720382,mix_coco_gqa_ao_cocap_textcap_raw_QformerMoE_CLS_Cross_lnout_lr5e5_3ex3b_2loss_001_top6layer_textinqf_10epo_0330
6,63.07839084115122,58.6,78.88,74.235807860262,68.6985496753533,mix_coco_gqa_ao_cocap_textcap_raw_QformerMoE_CLS_Cross_lnout_lr5e5_3ex3b_2loss_001_top6layer_textinqf_10epo_0330
7,63.722372396247415,58.5,79.24,74.67248908296943,69.03371536980421,mix_coco_gqa_ao_cocap_textcap_raw_QformerMoE_CLS_Cross_lnout_lr5e5_3ex3b_2loss_001_top6layer_textinqf_10epo_0330
8,63.89728096676737,58.97,79.44,73.88646288209607,69.04843596221586,mix_coco_gqa_ao_cocap_textcap_raw_QformerMoE_CLS_Cross_lnout_lr5e5_3ex3b_2loss_001_top6layer_textinqf_10epo_0330
9,63.84957862935284,58.62,79.56,73.88646288209607,68.97901037786222,mix_coco_gqa_ao_cocap_textcap_raw_QformerMoE_CLS_Cross_lnout_lr5e5_3ex3b_2loss_001_top6layer_textinqf_10epo_0330
0,56.99634282079822,53.79,73.68,70.82969432314411,63.82400928598558,mix_coco_gqa_ao_cocap_textcap_raw_QformerMoE_CLS_Cross_lnout_lr5e5_4ex4b_2loss_001_top6layer_textinqf_10epo_0331
1,59.68357449515026,54.46,75.16,72.40174672489083,65.42633030501027,mix_coco_gqa_ao_cocap_textcap_raw_QformerMoE_CLS_Cross_lnout_lr5e5_4ex4b_2loss_001_top6layer_textinqf_10epo_0331
2,60.93973604706631,55.99,75.88,71.87772925764192,66.17186632617705,mix_coco_gqa_ao_cocap_textcap_raw_QformerMoE_CLS_Cross_lnout_lr5e5_4ex4b_2loss_001_top6layer_textinqf_10epo_0331
3,62.00508824932422,58.43,76.67,72.48908296943232,67.39854280468914,mix_coco_gqa_ao_cocap_textcap_raw_QformerMoE_CLS_Cross_lnout_lr5e5_4ex4b_2loss_001_top6layer_textinqf_10epo_0331
4,62.8716807123549,58.22,77.73,73.88646288209607,68.17703589861274,mix_coco_gqa_ao_cocap_textcap_raw_QformerMoE_CLS_Cross_lnout_lr5e5_4ex4b_2loss_001_top6layer_textinqf_10epo_0331
