gqa,okvqa,vqav2,aokvqa,avg
56.49546827794561,56.81,73.81,70.21834061135371,64.33345222232484
58.97598982350135,54.6,75.05,70.91703056768559,64.88575509779673
61.408809031642555,56.58,76.51,73.36244541484717,66.96531361162243
62.020989028462395,58.58,76.98,72.13973799126637,67.43018175493219
62.346955000795035,56.98,78.14,73.27510917030567,67.68551604277518
63.43615837176022,57.51,78.88,73.1004366812227,68.23164876324573
63.79392590236922,57.77,79.41,73.7117903930131,68.67142907384559
63.722372396247415,58.26,79.93,73.88646288209607,68.94970881958587
63.57131499443472,58.05,80.13,73.36244541484717,68.77844010232047
63.817777071076485,58.43,80.19,73.7117903930131,69.0373918660224
