gqa,okvqa,vqav2,aokvqa,avg
56.320559707425666,54.43,73.75,71.61572052401746,64.02907005786079
58.936237875655905,56.23,75.25,71.09170305676857,65.37698523310611
60.99538877404993,55.3,76.4,73.01310043668123,66.42712230268279
61.146446175862614,58.62,76.58,73.1004366812227,67.36172071427133
62.5934170774368,58.5,77.5,73.88646288209607,68.11996998988322
62.41850850691684,57.47,78.24,73.7117903930131,67.96007472498249
62.99888694546033,58.08,78.88,74.235807860262,68.54867370143059
63.77802512323104,58.72,79.34,74.06113537117905,68.97479012360252
63.74622356495468,58.5,79.51,74.235807860262,68.99800785630417
63.825727460645574,58.41,79.63,74.41048034934498,69.06905195249763
