gqa,okvqa,vqav2,aokvqa,avg,name
57.036094768643665,54.59,73.8,71.9650655021834,64.34779006770677,mix_coco_gqa_ao_cocap_textcap_raw_QformerMoE_Pre_lnout_lr5e5_4extop1_2loss_001_top6layer_textinqf_10epo_0404
59.906185403084756,54.52,75.03,71.9650655021834,65.35531272631704,mix_coco_gqa_ao_cocap_textcap_raw_QformerMoE_Pre_lnout_lr5e5_4extop1_2loss_001_top6layer_textinqf_10epo_0404
60.82843059309906,56.33,76.25,73.27510917030567,66.67088494085118,mix_coco_gqa_ao_cocap_textcap_raw_QformerMoE_Pre_lnout_lr5e5_4extop1_2loss_001_top6layer_textinqf_10epo_0404
61.543965654317056,57.08,76.8,73.7991266375546,67.30577307296791,mix_coco_gqa_ao_cocap_textcap_raw_QformerMoE_Pre_lnout_lr5e5_4extop1_2loss_001_top6layer_textinqf_10epo_0404
62.45826045476228,57.27,77.77,73.1877729257642,67.67150834513161,mix_coco_gqa_ao_cocap_textcap_raw_QformerMoE_Pre_lnout_lr5e5_4extop1_2loss_001_top6layer_textinqf_10epo_0404
62.90348227063126,57.28,78.48,75.19650655021834,68.4649972052124,mix_coco_gqa_ao_cocap_textcap_raw_QformerMoE_Pre_lnout_lr5e5_4extop1_2loss_001_top6layer_textinqf_10epo_0404
63.213547463825726,58.15,79.02,74.41048034934498,68.69850695329268,mix_coco_gqa_ao_cocap_textcap_raw_QformerMoE_Pre_lnout_lr5e5_4extop1_2loss_001_top6layer_textinqf_10epo_0404
63.18969629511846,58.37,79.59,73.7117903930131,68.71537167203289,mix_coco_gqa_ao_cocap_textcap_raw_QformerMoE_Pre_lnout_lr5e5_4extop1_2loss_001_top6layer_textinqf_10epo_0404
63.42025759262204,58.39,79.77,73.88646288209607,68.86668011867953,mix_coco_gqa_ao_cocap_textcap_raw_QformerMoE_Pre_lnout_lr5e5_4extop1_2loss_001_top6layer_textinqf_10epo_0404
63.65081889012561,57.99,79.87,73.53711790393012,68.76198419851394,mix_coco_gqa_ao_cocap_textcap_raw_QformerMoE_Pre_lnout_lr5e5_4extop1_2loss_001_top6layer_textinqf_10epo_0404
