gqa,okvqa,vqav2,aokvqa,avg
57.54491970106535,54.21,73.9,71.87772925764192,64.38316223967682
59.93798696136111,54.74,75.12,72.75109170305677,65.63726966610447
60.77277786611543,55.58,76.23,73.7991266375546,66.59547612591751
61.66322149785339,57.91,76.69,73.27510917030567,67.38458266703977
62.56956590872953,57.59,77.73,74.06113537117905,67.98767531997714
62.85577993321672,58.39,78.58,74.8471615720524,68.66823537631728
63.33280330736206,58.49,79.11,74.67248908296943,68.90132309758287
63.61106694228017,58.64,79.56,75.02183406113538,69.20822525085389
63.69852122754015,58.41,79.8,74.67248908296943,69.14525257762739
63.68262044840197,58.45,79.9,74.75982532751092,69.19811144397823
